AG Part #,SKU,Name,Source,Supplier Part #,Cost per,Order Date,Notes,Utilized,Secondary Source,Supplier Part #
278,,Paint Gun Repair Kit,USA Tools,9166,$23.99 ,,,PL1,,
279,,"Paint Gun, Iwata  IWA-9230 1.3MM tip w/cup",Amazon,9230,$146.68 ,9/12/2024,,PL1,,
280,,"Paint Gun, Iwata IWA9233 Spray Gun",Amazon,9233,$133.08 ,7/30/2025,,PL1,,
281,,"Paint Gun, Starting Line, gravity",Summit Racing,DVR-802343,$189.99 ,1/22/2022,,PL1,,
282,,Paint Markers (Black),Uline,S-20622BL,$2.30 ,3/14/2022,,Facilities,,
283,,Paint Matte Clear,English Color,82-55-1,$53.18 ,7/21/2025,,PL1,,
283a,,Paint matte clear activator (hi-temp hardener),English Color,421,$36.17 ,12/18/2024,,PL1,,
283b,,"Paint, Reducer",English Color,114,$14.33 ,7/29/2025,,PL1,,
283c,,Paint matte clear normal activator,English Color,30-72-1,$55.25 ,7/14/2025,,PL1,,
283d,,Paint matte clear slow hardener,English Color,30-62-1,$55.25 ,6/20/2025,,PL1,,
285,,Paint Mixing/Measuring Cups (100/case),English Color,A75,$48.90 ,6/13/2025,,PL1,,
286,,Paint PPS System (lids & liners),English Color,16000,$146.83 ,7/14/2025,,PL1,,
287,,"Paint Pour Lid, Gallon",Amazon,,,1/26/2022,,PL1,,
288,,"Paint Pour Lid, quart",Amazon,,,1/26/2022,,PL1,,
290,,Paint Sticks,English Color,PADDLES,$39.66 ,4/4/2025,,PL1,,
291,,Paint Strainers,Southeast Auto Parts,,,,,PL1,,
292,,Paint Texture,US Composites,,,,,PL1,,
293,,Paint Thinner,Southeast Auto Parts,OMNI10-5,$47.11 ,5/3/2022,weekly order 2,PL1,,
294,,"Paint, At Ease Soldier",Sherwin Williams PO,F63TXA13540-2252,$174.34 ,4/28/2022,,PL1,,
295,,"Paint, Beige Gun",Sherwin Williams,F63TX434049,,,,PL1,,
296,,"Paint, Blue",Sherwin Williams,F63TXL12721,,,,PL1,,
297,,"Paint, Dead Flat Black",Sherwin Williams PO,F63B7,$131.60 ,2/18/2025,,PL1,,
298,,"Paint, Desert Tan",Sherwin Williams,F63TX413595-2252,,,,PL1,,
299,,"Paint, Garden Path",Sherwin Williams PO,F63TXA13541-2252,$174.34 ,11/1/2021,,PL1,,
300,,"Paint, Glamour Euro",English Color,PR205,$86.00 ,2/28/2025,,PL1,,
300a,,"Paint, Glamour Activator",English Color,PR285,$62.50 ,2/28/2025,,PL1,,
302,,"Paint, Gray",Sherwin Williams PO,F63TXA36118,,,,PL1,,
303,,"Paint, Gunstock Brown",Sherwin Williams PO,F63TXN12444,$214.52 ,2/18/2025,,PL1,,
304,,"Paint, Hyper Blue",Sherwin Williams PO,F63TXL13318,,,,PL1,,
305,,"Paint, Iron Gate",Sherwin Williams PO,F63TXA13542-2252,,,,PL1,,
105,34040-1 RevB,"Paint, MIL-DTL-64159B Color #37031 flat black",Superior Coatings of America,MIL-DTL-64159B,$455.00 ,7/22/2025,UH-60 Sensor Nose Mount Antenna Cover,PL2,,
105a,34040-1 RevB,"Paint, Hardener MIL-DTL-64159B Type II Catalyst (2:1)",,,,,,,,
306,,"Paint, Navel (Orange)",Sherwin Williams PO,F63TXE32473,$200.00 ,11/1/2021,,PL1,,
307,,"Paint, Olive D Green",Sherwin Williams PO,F63TXG12834,,,,PL1,,
308,,"Paint, Peppercorn",Sherwin Williams PO,F63TXA13181,,,,PL1,,
340,,"Paint, Primer; gray 4:1:1",English colors,4200,$92.50 ,12/18/2024,,PL1,,
107,34040-1 RevB,"Paint, Primer MIL-PRF-23377 Type I Class N",Superior Coatings of America,MIL-PRF-23377,$339.00 ,7/22/2025,UH-60 Sensor Nose Mount Antenna Cover,PL2,,
107a,34040-1 RevB,"Paint, Primer Reducer MIL-PEF-23377K Type I Cl. N Catalyst (1:1)",Superior Coatings of America,,,,,,,
309,,"Paint, Primer Urethane 4:1 2K",English Color,36G,$102.06 ,7/14/2025,,PL1,,
309a,,"Paint, Primer 4:1 2K",English Color,361Q,$43.42 ,4/4/2025,,PL1,,
311,,"Paint, Red",Sherwin Williams PO,F63TXR31350,,,,PL1,,
313,,"Paint, Sage Green",Sherwin Williams,F63TX613594-2252,$223.22 ,2/18/2025,,PL1,,
314,,"Paint, Sample Jar 1oz",Specialty Bottle,FSQ1,$0.97 ,12/18/2024,,PL1,,
315,,"Paint, Tan Match",Sherwin Williams PO,F63TXH12576,,,,PL1,,
316,,"Paint, Toxic Green",Sherwin Williams PO,F63TXG38901,,,,PL1,,
317,,"Paint, Tungsten Match",Sherwin Williams PO,F63TXA13047 Include # R274,,,,PL1,,
318,,"Paint, Urban (Acier)",Sherwin Williams PO,F63TXA13049,$174.34 ,11/1/2021,,PL1,,
319,,"Paint, White",Sherwin Williams PO,F63TXW37925,,,,PL1,,
320,,"Paint, Woodland Tan",Sherwin Williams PO,F63TXH15361,,,,PL1,,
321,,"Paint, Yellow",Sherwin Williams PO,F63TXY33655,$200.00 ,11/1/2021,,PL1,,
435,,"Paint Booth Service, recycle paint thinner",Safety-Kleen Systems,87020,,,,Services,,
322,,Panel Bond 6030,English Color,6030,$55.66 ,7/14/2025,,"PL1, PL2",,
323,,Panel Bond 6030 Dispenser,English colors,6000,$112.44 ,4/4/2022,,"PL1, PL2",,
324,,"Paper Towels, brown roll ",American Paper & Twine,460032,$33.95 ,7/10/2025,,Facilities,,
325,,"Paper Towels, white kitchen (30 rolls/case)",American Paper & Twine,23608,$37.25 ,9/3/2024,,Facilities,,
326,,"Partall Paste Wax, 7 lb tub",US Composites,REX-270,$30.63 ,2/13/2025,,PL1,,
327,,"PIcnic Table, 6"" wooden",Uline,H-2999,$159.00 ,4/16/2020,,Facilities,,
328,,"Pigment, black",US Composites,BL128,$164.00 ,4/26/2022,,PL1,,
329,,"Pin, Hole Liner for 3/8"" locating pin",McMaster,31445A118,$7.82 ,2/1/2022,mold pins CNC,PL3,,
330,,"Pin, Mating Locating 3/8"" tapered head",McMaster,31445A113,$5.57 ,2/1/2022,mold pins CNC,PL3,,
331,,"Plastic Insert for QD attachment, ABS Front",Boedeker Plastics,ABS Front,$0.50 ,5/13/2024,PO,PL1,,
332,,"Plastic Insert for QD attachment, ABS Large",Boedeker Plastics,ABS Large,$0.53 ,7/3/2024,PO,PL1,,
334,,Plastic Scoop - 2 Quart,Uline,H-879,$6.00 ,11/1/2021,,PL1,,
335,,Plastic Smoker's Receptacle - Beige,Uline,H-1103BE,$51.00 ,6/23/2020,,Facilities,,
339,,"Post-It sticky notes, small",Amazon,,$7.99 ,3/31/2022,Pam,Admin,,
341,,Pro-Set Epoxy PSI ADV 175/273,Composites One,605432,$35.25 ,10/15/2024,,"PL1, PL2",,
342,,Pro-Set Manual Dispensing Gun,Chemical Concepts,LOR3029937,$47.40 ,11/30/2023,,"PL1, PL2",Composites One,301853
344,,Propane,Sexton Welding,UN1075,,5/18/2022,,Facilities,,
345,,"Punch Set, drive pin misc. sizes",Amazon,X0038XE4JZ,$60.00 ,10/3/2024,,PL1,,
346,,Q-Tip Applicators / Cotton Swabs,Uline,S-18991-S1,,,,PL1,,
347,,QD Cups (hex special) Hollow Stock Push Button,GrovTec PO,720251F,$1.21 ,10/12/2021,for M1A,PL1,,
343,,QD Cup (rotating BL),GrovTec PO,720201,$0.57 ,2/7/2024,,PL1,,
348,,"Radio, Two-Way Retevis",Amazon,X001COE7NP,$46.99 ,9/13/2024,,Facilities,,
349,,Red Pillar Caps T-1,McMaster,,$4.05 ,,don't order,PL1,,
350,,Red Pillar Caps T-2,McMaster,4491K136,$4.62 ,6/25/2025,,PL1,,
568,,"Release film, 60.001 perforated",Aircraft Spruce & Specialty,01-01528,$4.65 ,4/25/2024,vacuum bagging,PL2,,
575,SG01544,"Release film, Airtech Wrightlon® 4600 P3  .0015"" thick x 60"" width",Composite Envisions,20744-60,$7.78 ,4/29/2025,vertical stabilizer plugs,PL2,,
351,,"Respirator 6502, 3M Half (Large)",Uline,H-4987,$25.00 ,12/1/2021,,PL1,,
352,,"Respirator 6502, 3M Half (Medium)",Uline,H-4986,$25.00 ,10/7/2021,,PL1,,
353,,"Respirator Filter 6502, 3M",Uline,S-19184,$39.00 ,5/5/2025,,PL1,,
354,,"Retaining rings, side mount for 3/8"" OD",McMaster,97431A320,,3/8/2022,for ovens,Facilities,,
355,,"Rod, 3"" all thread 1/2"" - 13",McMaster,98750A103,$1.64 ,7/14/2021,,PL1,,
356,,"Rod, 4"" all thread 1/2"" - 13",McMaster,98750A107,$1.91 ,2/1/2022,Aaron,PL1,,
357,,"Rod, 5"" all thread 1/2"" - 13",Fastener Superstore,935660,$1.18 ,,,PL1,McMaster,98750A109
359,,Rolling Step Stool - Red,Uline,H-7846R,$55.00 ,4/28/2020,,Facilities,,
360,,"Rolling Tool, plastic 8""",Lowe's,1175816,$4.18 ,4/20/2022,lay up,"PL1, PL2",,
361,,"Router bit, XMHF 1/2"" diamond profile",Amazon,X001VC2K2N,$9.49 ,9/4/2024,,PL3,,
362,,"Rubber Bands, Business Source",Amazon,,$21.99 ,3/24/2022,,Admin,,
363,,Rubber Mallet,Uline,H-2215,$8.50 ,3/15/2021,,"PL1, PL2",,
364,,Rustoleum Flat Black Enamel oil paint,Home Depot,,79.96/2,1/31/2022,replaced with black gel stain,PL1,,
366,,Safety Glasses,Uline,S-15373,,6/25/2025,,Facilities,Global Industrial,T9F708119
367,,Safety Goggles,JB Tools,JB-SRX-S81220X,$0.99 ,10/18/2024,,Facilities,,
368,,Safety Goggles Lens Covers,JB Tools,SAS-5111,$6.17 ,10/18/2024,,Facilities,,
381,,"Sand Paper, 36 Grit belt",McMaster,4744A614,,,,PL1,,
377,,Sand Paper 80 grit - dry,McMaster,,,,,PL1,,
378,,"Sand Paper 80 Grit Roll, 1.5"" x 150 ft",McMaster,4687A214,$39.89 ,3/16/2022,mold cleaning,PL1,,
379,,"Sand Paper 80 Grit Roll, 2.75"" x 12 yards",Amazon,B08GFMYKQZ,$19.99 ,9/12/2024,,PL1,,
369,,Sand paper 120 grit MAXMAN purple (preferred),Amazon,,$10.99 ,4/26/2022,,PL1,,
370,,Sand paper 120 Grit Mirka sheets ,Amazon,,25.17/50,,,PL1,,
371,,Sand Paper 120 Grit Mirka sheets ,English colors,,,,,PL1,,
380,,"Sand Paper Roll 120 grit, 1.5"" x 150 ft",Grainger,435Y48,$38.38 ,3/21/2022,finish,PL1,,
372,,Sand Paper 180 grit sheets - dry,McMaster,4724A138,,,,PL1,,
373,,Sand Paper 180 grit sheets - wet/dry 15 pack,Amazon,,$12.50 ,8/7/2024,,PL1,,
374,,Sand Paper 220 grit sheets ,English Color,8111,$30.34 ,7/14/2025,,PL1,,
437,,"Sand paper, 320 grit sheets",English Color,8114,30.34,14-Jul,,PL1,,
375,,Sand Paper 400 grit sheets,English Color,8116,$30.34 ,1/2/2025,,PL1,,
376,,Sand Paper 600 grit sheets - dry,,,,,,PL1,,
382,,Sandblaster Media: 80 grit Blastite pallet = 500#s,Brandt,Blastite 80,$1.31 ,8/1/2024,,PL1,,
383,,"Sandblaster part: fitting 1/2"" barb x 3/8""MNPT for 1/2"" ID hose",Brandt Industries,14-302,$5.00 ,9/24/2024,secondary source: Amazon,PL1,,
384,,"Sandblaster part: fitting 1/2"" flare swivel x 1/2"" push lock hose",Brandt Industries,15002,$7.00 ,2/26/2022,PO,PL1,,
385,,"Sandblaster part: guard nozzle, wide spray",Brandt Industries,20-055,$36.00 ,2/23/2022,PO,PL1,,
386,,"Sandblaster part: gun, left mount",Brandt Industries,12275,$106.00 ,1/29/2025,PO,PL1,,
387,,"Sandblaster part: gun, right mount",Brandt Industries,12277,$106.00 ,1/29/2025,PO,PL1,,
388,,"Sandblaster part: hose, media clear 1/2"" x 3/4""",Brandt Industries,18-084-T,$8.00 ,2/25/2022,PO,PL1,,
389,,"Sandblaster part: nozzle boron, wide spray gun",Brandt Industries,20-095WS,$195.00 ,11/5/2024,PO,PL1,,
390,,Sandblaster part: O-ring,Brandt Industries,20-053,$1.00 ,2/24/2022,PO,PL1,,
391,,"Sandblaster part: orifice, 1/4""",Brandt Industries,11963,$30.00 ,2/19/2022,PO,PL1,,
392,,Sandblaster part: pulley system,Brandt Industries,WB6061C-S22C,,11/5/2024,,PL1,,
393,,Sandblaster part: retaining ring wide spray,Brandt Industries,12038/20-056,$8.00 ,2/21/2022,PO,PL1,,
394,,Sandblaster part: solenoid air valve 2-pot,Brandt Industries,13-514-24DC,$283.50 ,2/27/2022,PO,PL1,,
395,,Sandblaster part: tension belt for satellite drive,Brandt Industries,12433-03,$30.00 ,2/28/2022,PO,PL1,,
396,,"Sandblaster rubber twist tie - 24""",Amazon,X003DURLCF,$7.75 ,11/14/2024,,PL1,,
397,,"Sander 2"" spot, Aircat",JB Tools,,$129.00 ,,mold cleaning,PL1,,
398,,"Sander 6"" orbital, Aircat (central-vacuum)",JB Tools,6700-6-336-CV,$144.00 ,,best for finish,PL1,,
399,,"Sander 6"" orbital, Aircat (non-vacuum)",JB Tools,6700-6-336,$134.00 ,,best for gunsmith,PL1,,
400,,"Sanding belt, 240 grit, 2"" wide ",McMaster,4744A892,$4.14 ,5/11/2021,QD Grinder,PL1,,
177,,"Sanding Disc 80 grit hook and loop 2""",Amazon,,,7/18/2025,finish Cooper,PL1,,
178,,"Sanding Disc 120 grit hook n loop  2""",Amazon,,,7/18/2025,finish Cooper,PL1,,
401,,"Sanding Disc 1000 grit 6"" hook and loop (pack of 10)",McMaster,4321A33,$14.41 ,2/11/2022,,PL1,,
402,,"Sanding Disc 120 grit 6"" hook n loop ",English Color,82408,$18.57 ,7/29/2025,,PL1,,
403,,"Sanding Disc 180 grit 6"" hook & loop (Gold Pro)",English Color,USC082410,$18.59 ,5/3/2022,,PL1,,
404,,"Sanding Disc 220 Grit 12"" Cloth Back",McMaster,4700A752,$4.63 ,8/7/2024,,PL1,,
405,,"Sanding Disc 220 grit 6"" hook and loop",English Color,82411,$18.57 ,4/10/2025,,PL1,,
94,,"Sanding Disc 320 grit 6"" hook and loop",,,,,,PL1,,
406,,"Sanding Disc 36 grit 12"" Cloth Back",McMaster,4700A751,$4.63 ,8/5/2024,,PL1,,
407,,"Sanding Disc 80 grit 6"" hook n loop ",English Color,82406,$18.57 ,7/21/2025,,PL1,,
408,,"Sanding Disc, Autotoolhome, 2""",Amazon,,$8.29 ,2/15/2022,,PL1,,
409,,"Sanding Disc, Dynabrade 54339 hook and loop, 6"" ",DISCONTINUED,,,4/9/2025,back up part #54328 WORKED,"PL1, PL2",,
409a,,"Sanding Disc, Dynabrade 54340 hook and loop, 6"" ",AA Abrasives,,$40.76 ,6/11/2025,testing this part,"PL1, PL2",,
410,,"Scale, postal 25 lb",Uline,H-3677,$65.00 ,2/8/2022,,"PL1, PL2",,
411,,"Scissors, high-force blunt point",McMaster,3768A12,$9.58 ,3/23/2022,mold cleaning,"PL1, PL2",,
412,,"Scraper, paint multi-tool Workpro",Amazon,B0BHSJWW41,$7.99 ,4/30/2025,plugging,PL1,,
504,,"Screw, #8 deck, star head 2"" long",Fastener Superstore,504576,,,"gunsmith, counterbore",PL1,,
156,,"Screw, M5 x .8mm thread, 14 mm long",McMaster,91292A058,$15.15 ,4/2/2025,cutting head screw for cutting table,PL1,,
428,,"Screw, 10-32 x 3/8"" low cap socket screw",McMaster,92220A172,$12.08/50,4/10/2025,rail screws,PL1,,
161,,"Screw, 10-32 x 5/8"" low cap socket head",McMaster Carr,92220A174,$10.13 ,7/8/2025,AG cheek risers,PL1,,
424,,"Screw, 10-32 x 1 1/4"" socket head ",McMaster,91251A349,$14.80/50,11/16/2022,"swivel screws, plugging",PL1,,
423,,"Screw, 10-32 x 1 1/2"" Socket Head (25/pack)",McMaster,90044A118,$11.37/25,6/25/2025,"swivel screws, plugging",PL1,,
337,,"Screw, 10-32 x 1 5/8"" black oxide socket head",McMaster,91251A287,,3/19/2025,tail mold screws,PL2,,
425,,"Screw, 10-32 x 1 3/4"" Socket Head",McMaster,, ,,swivel screws,PL1,,
312,,"Screw, 10-32 x 2"", full thread black oxide socket head",McMaster,90044A120,,3/19/2025,tail mold screws,PL2,,
426,,"Screw, 10-32 x 2 1/4"" socket head",McMaster,91251A354,$15.63 ,7/23/2025,AG cheekrisers,PL1,,
427,,"Screw, 10-32 x 3""  pan head",McMaster,90272A842,$9.38 ,3/14/2022,"to hang stocks, paing",PL1,,
420,,"Screw, 1/4""-20 x 1/2"" flat tip set, black oxide",,,,1/2/2025,"Zack L custom work, gunsmith",PL1,,
421,,"Screw, 1/4""-20 x 5/8 stainless socket head",,,,,mold column screws,PL1,,
422,,"Screw, 1/4""-20 x 5/8 flat tip set, black oxide",,,,1/2/2025,"Zack L custom work, gunsmith",PL1,,
418,,"Screw, 1/4""-20 x 1 socket head",McMaster,,$12.36/50,10/23/2024,AG pinch plate counterbore,PL1,,
419,,"Screw, 1/4""-20 x 1 square head, black oxide",Blacksmith Bolt & Rivet,25SQMB100BO,$0.18 ,7/17/2025,AG cheek riser,PL1,,
310,,"Screw, 1/4""-20 x 2"" partial thread socket head",McMaster,91251A550,,2/26/2025,tail mold screws,PL2,,
416,,"Screw, 1/4"" - 28 x 1 3/8"" socket head (10/pack)",McMaster,91251A295,$9.07/10,7/9/2025,AG bottom metal,PL1,,
417,,"Screw, 1/4"" - 28 x 1"" socket head ",McMaster,91251A542,$16.03/50,3/28/2022,AG bottom metal,PL1,,
431,,"Screw, 5/16""-24 x 3/4"" stainless socket head",McMaster,92196A339,,1/16/2025,mold connector screws,PL2,,
430,,"Screw, 5/16""-24 x 1"" zinc plated socket head",McMaster,90128A749,$5.33 ,3/5/2025,mold connector screws,PL2,,
526,,"Screw, 5/16""-24 x 1 1/4"" zinc plated socket head",,90128A753,,3/5/2025,mold connector screws,PL2,,
429,,"Screw, 3/8""-16 2"" long socket head",McMaster,91251A632,15.28/25,4/26/2022,sub screws,PL1,,
536,,"Screw, 3/8""-16 x 3""  Yellow-Chromate Hex, fully threaded",McMaster,92620A636,$8.16 ,3/18/2025,vertical stabilizer mold,PL2,,
415,,"Screw, 1/2""-13 x 1"" socket head armor coat",McMaster,91274A444,$11.91 ,8/27/2025,plugging,PL1,Grainger,5YNF9
413,,"Screw, 1/2""-13 x 1 1/2"" black oxide socket head",McMaster,91251A716,,11/15/2024,,PL3,,
414,,"Screw, 1/2""-13 x 1 3/4"" black oxide socket head",McMaster,91251A718,,11/13/2024,,PL3,,
577,,"Screw, 1/2"" - 13 Zinc yellow chromate plated hex head screw, grade 8 steel, 4.5"" long partial thread",McMaster,91257A730,,2/24/2025,horizontal tail mold screws,PL2,,
45,,"Screw, 1/2"" - 13 x 5 Zinc yellow chromate plated hex head screw, grade 8 steel, partial thread",McMaster,91257A732,$16.22 ,4/2/2025,vertical tail mold screws,PL2,,
432,,"Screwdriver, pocket size 1/8"" slotted",McMaster,5682A12,$6.30 ,4/15/2022,QC,PL1,,
433,,Sharpies,McMaster,1661T11,$16.38/12,3/28/2022,,Admin,,
434,,"Sharpies, bronze",Amazon,,,2/3/2022,,Admin,,
440,,"Slip 6, Zyvax Flex-Z 6.0",Composites One,540105,$179.02 ,11/11/2024,,"PL2, PL1",,
95,,"Socket adapter 3/8"" to 7/8""",Tekton.com,SID13022,$6.00 ,5/14/2025,,PL1,,
441,,"Space Heater, Vornado Velocity",Amazon,80916L3XMR,$89.99 ,9/25/2024,,Facilities,,
442,,Spartan Bipod adaptor,javelinbipod.com,SP02-04-R,$25.00 ,4/9/2025,,PL1,,
494,,"Spatula, 1.5"" for removing cello",Amazon,,$9.97 ,9/10/2025,"Disruptor, Bandit fuselage",PL2,,
443,,"Sponges, Pro-plus",Home Depot,1005881418,$36.22/12,7/16/2025,paint,PL1,,
444,,"Sponges, QEP 6 pack",Home Depot,429007,$8.68/6,4/2/2025,"paint, general tasks",PL1,,
445,,"Spot Drill, Center Drill, Plain #4",Zoro,G2687273,$23.19 ,5/14/2024,,PL1,,
446,,"Spreaders, yellow plastic 4""",Amazon,B00P3O22Y0745227008957,$2.94 ,2/13/2025,,PL1,,
447,,"Spreaders, yellow plastic 6""",Amazon,,35.65/100,9/12/2024,,PL1,,
562,SG01544,"Spring, compression 0.75"" Long, 0.6"" OD, 0.456"" ID",McMaster,9434K134,$6.94 ,3/19/2025,vertical stabilizer mold,PL2,,
448,,"Spring, compression 0.625"" Long, 0.24"" OD, 0.176 ID",McMaster,9435K42,$8.48/5,3/24/2025,for M5 bottom metal,PL3,,
449,,"Stain, General Finishes black gel",Amazon,X001SREDLH,$49.45 ,7/17/2025,,PL1,Zoro,
216,34040-01 RevB,"Stamp, Rib Type 1"" x 3"" wooden handle",The Hitt Companies,HS-RIB0103,$6.90 ,7/24/2025,UH-60 antenna cover part marking,PL2,,
213,34040-01 RevB,"Stamp Letter/Number Set, TA10 Rib Type 1/8""",The Hitt Companies,HS-RIBTA10,$22.10 ,7/24/2025,UH-60 antenna cover part marking,PL2,,
450,,"Stencils, 8.5"" x 1"" for texture",Stencil Stop,custom,,3/20/2025,for texture,PL1,,
520,,"Stencils 7"" x .82"" for texture",Stencil Stop,custom,$4.88 ,3/20/2025,for texture,PL1,,
456,,"Stencil Material 30"" x 100'",Bren,UC30100,$181.37 ,7/15/2025,for texture,PL1,,
589,,Sticker (Don't Double Stack),,,,,,Shipping,,
451,,"Stoner, green mold release for heat",Stoner Molding,E497CSSTON01,$80.60 ,8/27/2025,mold release,"PL1, PL2",,
452,,"Stoner, purple mold release for subs",Stoner Molding,E236CSSTON02,,4/30/2025,,PL1,,
453,,"Stool, tall w/adjustable legs",Uline,H-3730BL,,,,Facilities,,
454,,Strainers,English Color,,,,paint,PL1,,
588,,Strapping Kit (Shipping),,,,,,Shipping,,
455,,Stretch/shrink wrap (single roll),Amazon,B0D6CFYK63,$17.49 ,11/7/2024,,Shipping,,
581,,Super Glue,Amazon,,,,buttpad work,PL1,,
457,,Surecool 200 ex (55 gal drum of coolant),Sure Chem PO,,,1/28/2025,,PL3,,
458,,"Swivel Stud 3/8"" FT 10-32",GrovTec PO,50237,$0.19 ,5/1/2024,,PL1,,
459,,Swivel Stud Spacers,GrovTec PO,561303,$0.07 ,1/12/2022,,PL1,,
460,,"T-Handle Hex Key 3/16"" 6"" total length",McMaster,5374A16,$6.46 ,3/3/2022,,PL1,,
461,,"T-Handle Hex Key 3/32"" 9"" total length",McMaster,5374A51,$6.98 ,3/3/2022,,PL1,,
571,,"T-wrench, hex key 5/32"" x 6""L",McMaster,5374A15,$6.56 ,3/1/2024,,PL1,,
463,,"Table, folding - 48 x 24""",Uline,H-4208FOL,$75.00 ,6/1/2020,,Facilities,,
464,,"Table, steel 72x30",ULine,H-1137-STEEL,$460.00 ,1/26/2022,,Facilities,,
465,,"Tags, shipping inserts ""Bedding not necessary""",ULine,,,9/25/2024,,Shipping,,
466,,"Tap Wrench, economy with T-handle, 2 3/8"" long",McMaster,25605A63,,3/3/2022,gunsmith,PL1,,
467,,"Tap, 1/2""-13, plug chamfer uncoated, straight flute",McMaster,26955A56,,2/27/2025,,PL3,Grainger,53ML90
468,ok,"Tap, 10-32 Threaded Tap",AFI,T8216342,$9.24 ,7/7/2025,167 on hand 7/10; used for swivel stud holes,PL1,McMaster,2762A44
96,ok,"Tap, 1/4-20 threaded",,,,,"bipod holes,  150 on hand gunsmith 7/11",PL1,,
469,,"Tap, 3/8"" - 16, 2.9"" long, threaded",GoVets.com,2750991,$9.16 ,11/14/2024,gunsmith,PL1,,
470,,"Tap, 3/8"" - 16, 2"" long, threaded",Machining Resources,T7236483,$26.80 ,,,PL1,,
471,,"Tap 3/8-16, 4 Flutes, H3, Bright/Uncoated",GoVets.com,G837601,$26.79 ,6/14/2025,,PL3,,
473,ok,"Tap, 3/8"" - 16, 6"" long, threaded",McMaster,2583A14,$81.05 ,3/25/2022,1 on hand 7/10,PL1,,
474,,"Tap, 9/16 - 18 H3 3 flute Hertel",MSC Industrial,41113432,$19.27 ,,,PL1,,
478,,"Tape, 1"" x 216' masking for powder coating - mandrels",McMaster Carr,7630A165,$25.02 ,4/16/2025,tube wrapping,PL2,,
478a,,"Tape, 2"" x 216' masking for powder coating - mandrels",McMaster,7630A175,$32.33 ,9/4/2024,,PL2,,
479,,"Tape, 3M Blue Painters, 1"" x 60 yds",ULine,S-6542,$6.50 ,5/3/2021,,"PL1, PL2",,
480,,"Tape, 3M Blue Painters, 2"" x 60 yds",Lowe's,590695,$31.01/6,4/20/2022,,"PL1, PL2, PL3",,
481,,"Tape, 3M Green, High-Temp, 1"" x 60yds ",Uline,S-7834,$7.30/12,1/26/2022,Barcodes - AG,PL1,,
482,,"Tape, 3M Orange vinyl, 2"" x 36 yds",ULine,S-10257O,$8.40 ,1/3/2022,,PL1,,
483,,"Tape, 3M Purple Masking,  2"" x 60 yds",ULine,S-21411,$19.50 ,1/15/2025,,PL1,,
484,,"Tape, 3M Yellow Masking, 1"" x 60 yds",ULine,S-21419,$4.95 ,3/9/2021,For Returns,PL1,,
591,,"Tape, Aluminum",,,,,,PL1,,
47,,"Tape, Carbon Fiber 2"" x 30 yards; 5.7 oz, plain weave, 3K tow,.010"" thickness",US Composites,FG-CF5702,$135.00 ,4/9/2025,for pinch area wet layup,PL2,,
592,,"Tape, Duct 2""",,,,,,Facilities,,
593,,"Tape, Electrical Black 3/4""",,,,,,PL1,,
166,,"Tape, Fiberglass (old)",McMaster,76455A19,$20.83 ,4/13/2021,,Facilities,,
533,,"Tape, fiberglass electrical 1/2"" x 54'",McMaster,7574A24,$20.33 ,4/16/2025,,PL2,,
485,,"Tape, Roll Wrapping Compaction Stage 2 Nonstick 300F Cello .75""W",Rock West,1538-D,,11/14/2024,for tubes,PL2,,
486,,"Tape, Roll Wrapping Stage 1 Nonstick 300F Poly .75""W",Rock West,1536-D,,11/14/2024,Bandit,PL2,,
585,,"Tape, thread seal",,,,,,Facilities,,
487,,"Tape, ULine blue painters 2"" x 60 yds",Uline,S-9759,$7.95 ,10/22/2024,,PL1,,
475,,"Tape Dispenser, multi roll 2""",Uline,H-440,$16.00 ,3/29/2022,,Facilities,,
476,,"Tape Logic, clear packing tape",American Paper & Twine,250024,$140.76 ,7/23/2025,,Shipping,,
477,,"Tape Measure, NIST certified 16' x 1""",McMaster,1936A51,$77.64 ,10/29/2024,,"PL1, PL2, PL3",,
181,,Temp Recorder for Frozen Shipments,Park Aerospace,,$75.00 ,,,,,
490,,Tikka T3 Recoil Lug,Mountain Tactical,T3T3XESL,$18.00 ,10/21/2021,email,PL1,,
574,,Timer (magnetic),,,,,,"PL1, PL2",,
491,,"Toilet Bowl Cleaner, Husky 32 oz",Uline,S-19372-S1,$3.35 ,12/21/2021,,Facilities,,
492,,Toilet Paper,ULine,S-6869,$84/80,1/19/2022,,Facilities,,
493,,"Toilet paper, Vic Bay JRT 3.3"" x 1000'",American Paper & Twine,450032,$42.25 ,7/10/2025,,Facilities,,
338,,"Tongue Depressors, wide, popsicle sticks",N AL Chemical,MIIMDS202065,$9.40/500,3/22/2022,,"PL1, PL2",ULine,S-19178
495,,"Totes, ""round trip"" lidded",Uline,S-9745G,$28.00 ,3/15/2022,,PL1,,
496,,"Totes, lightweight 18x13x12 (Space Age), green",ULine,S-133G,$12.00 ,1/25/2022,,PL1,,
497,,"Trash bags, 13 gal",American Paper & Twine,AVM-2433R-8-1MN,$32/1000,3/15/2022,,Facilities,,
498,,"Trash bags, 60 gal (100/case)",American Paper & Twine,380012,$31.86 ,7/10/2025,,Facilities,,
499,,Trash can dolly,Uline,H-6550,$54.00 ,3/15/2021,,Facilities,,
